"index","Date","Open","High","Low","Close","Adj Close","Volume"
"321","2011-04-11","11.9307","11.9882","11.7864","11.8143","10.1292","398946800"
"322","2011-04-12","11.8032","11.9189","11.7929","11.8714","10.1782","425639200"
"323","2011-04-13","11.965","12.005","11.8757","12.0046","10.2924","346220000"
"324","2011-04-14","11.9571","12","11.8593","11.8721","10.1788","301800800"
"325","2011-04-15","11.9036","11.9157","11.6714","11.695","10.0269","453605600"
"326","2011-04-18","11.6464","11.8654","11.4343","11.8518","10.1613","609898800"
"327","2011-04-19","11.8964","12.0707","11.8468","12.0664","10.3453","419378400"
"328","2011-04-20","12.2682","12.3482","12.1964","12.2289","10.4847","700666400"
"329","2011-04-21","12.6786","12.6832","12.4471","12.525","10.7385","753810400"
"330","2011-04-25","12.5121","12.6339","12.5107","12.6075","10.8092","266546000"
"331","2011-04-26","12.6293","12.6782","12.4768","12.515","10.7299","338800000"
"332","2011-04-27","12.58","12.5839","12.3964","12.5054","10.7217","356213200"
"333","2011-04-28","12.3639","12.4911","12.34","12.3839","10.6175","360959200"
"334","2011-04-29","12.385","12.6411","12.3811","12.5046","10.721","1006345200"
"335","2011-05-02","12.4907","12.5168","12.3393","12.3671","10.6032","442713600"
"336","2011-05-03","12.4282","12.4961","12.3436","12.4357","10.6619","313348000"
"337","2011-05-04","12.4379","12.5654","12.3886","12.4846","10.7039","389250400"
"338","2011-05-05","12.4429","12.5339","12.3589","12.3839","10.6175","335969200"
"339","2011-05-06","12.4889","12.5","12.3646","12.3807","10.6148","280134400"
"340","2011-05-09","12.4236","12.4714","12.3761","12.4143","10.6436","204747200"
"341","2011-05-10","12.4604","12.4889","12.3807","12.4804","10.7002","282091600"
"342","2011-05-11","12.465","12.5","12.33","12.4011","10.6322","336000000"
"343","2011-05-12","12.3614","12.3971","12.2239","12.3775","10.612","322000000"
"344","2011-05-13","12.345","12.3661","12.1554","12.1607","10.4262","326116000"
"345","2011-05-16","12.1143","12.1864","11.8786","11.9036","10.2057","449775200"
"346","2011-05-17","11.8571","12.005","11.8118","12.005","10.2927","452334400"
"347","2011-05-18","12.0168","12.1804","12","12.1382","10.4069","334776400"
"348","2011-05-19","12.2171","12.2289","12.0954","12.1618","10.4271","261170000"
"349","2011-05-20","12.1271","12.1768","11.965","11.9721","10.2645","337968400"
